Brandname,Description,Price,Url,Sizes
VETEMENTS,I Got Lucky-print T-shirt,$903,https://www.farfetch.com/in/shopping/women/vetements-i-got-lucky-print-t-shirt-item-18694754.aspx?storeid=9502,"XS, M"
Balenciaga,Notch Tracksuit cotton cap,$420,https://www.farfetch.com/in/shopping/men/balenciaga-notch-tracksuit-cotton-cap-item-18480918.aspx?storeid=13539,"S, M, L"
AMIRI,Shotgun distressed-effect skinny jeans,"$1,657",https://www.farfetch.com/in/shopping/men/amiri-shotgun-distressed-effect-skinny-jeans-item-18694753.aspx?storeid=12609,"XS, S, M"
Jordan,Air Jordan 1 Low sneakers,$278,https://www.farfetch.com/in/shopping/men/jordan-air-jordan-1-low-sneakers-item-18508243.aspx?storeid=11218,See all sizes
Balenciaga,BB Icon trompe l'oeil print shirt,"$1,180",https://www.farfetch.com/in/shopping/men/balenciaga-bb-icon-trompe-loeil-print-shirt-item-18687540.aspx?storeid=13539,"S, M, L"
Salvatore Ferragamo,Gancini-buckle leather belt,$639,https://www.farfetch.com/in/shopping/men/salvatore-ferragamo-gancini-buckle-leather-belt-item-18642734.aspx?storeid=9783,"M, L, XL"
Moncler,straight leg jeans,$776,https://www.farfetch.com/in/shopping/men/moncler-straight-leg-jeans-item-18688216.aspx?storeid=13539,"M, L, XL"
Valentino Garavani,leather combat boots,"$1,123",https://www.farfetch.com/in/shopping/men/valentino-garavani-leather-combat-boots-item-18706637.aspx?storeid=9564,See all sizes
Salvatore Ferragamo,logo-print detail tote bag,"$2,660",https://www.farfetch.com/in/shopping/men/salvatore-ferragamo-logo-print-detail-tote-bag-item-18547648.aspx?storeid=13539,One Size
James Perse,relaxed fit short-sleeve T-shirt,$185,https://www.farfetch.com/in/shopping/men/james-perse-relaxed-fit-short-sleeve-t-shirt-item-18728969.aspx?storeid=9728,"S, M, L, XL"
Bally,logo-plaque leather belt,$528,https://www.farfetch.com/in/shopping/men/bally-logo-plaque-leather-belt-item-18723488.aspx?storeid=9462,XL
Dsquared2,faded distressed slim-fit jeans,$735,https://www.farfetch.com/in/shopping/men/dsquared2-faded-distressed-slim-fit-jeans-item-18716828.aspx?storeid=10064,"XS, S, M, L, XL, XXL, XXXL"
Off-White,x Church's Meteor-holes leather Oxford shoes,"$1,942",https://www.farfetch.com/in/shopping/men/off-white-x-churchs-meteor-holes-leather-oxford-shoes-item-18578743.aspx?storeid=12572,See all sizes
BARROW,intarsia-knit jumper,$440,https://www.farfetch.com/in/shopping/men/barrow-intarsia-knit-jumper-item-18709734.aspx?storeid=9681,"S, M, L"
Balenciaga,Signature BB canvas tote bag,"$1,070",https://www.farfetch.com/in/shopping/women/balenciaga-signature-bb-canvas-tote-bag-item-18452667.aspx?storeid=13539,One Size
Palm Angels,distressed logo-embroidered cap,$249,https://www.farfetch.com/in/shopping/men/palm-angels-distressed-logo-embroidered-cap-item-18571722.aspx?storeid=12592,One Size
Haikure,stonewashed slim-fit jeans,$392,https://www.farfetch.com/in/shopping/men/haikure-stonewashed-slim-fit-jeans-item-18694901.aspx?storeid=9446,"S, M, L, XL"
Brunello Cucinelli,brogue-style ankle boots,"$1,595",https://www.farfetch.com/in/shopping/men/brunello-cucinelli-brogue-style-ankle-boots-item-18317962.aspx?storeid=12190,See all sizes
VETEMENTS,I Got Lucky long-sleeve hoodie,"$2,273",https://www.farfetch.com/in/shopping/women/vetements-i-got-lucky-long-sleeve-hoodie-item-18693956.aspx?storeid=12609,XS
Moschino,marbled-pattern bucket hat ,$260,https://www.farfetch.com/in/shopping/men/moschino-marbled-pattern-bucket-hat-item-18698192.aspx?storeid=9329,"S, L"
Versace,logo-print T-shirt,"$1,036",https://www.farfetch.com/in/shopping/men/versace-logo-print-t-shirt-item-18710176.aspx?storeid=9671,"XS, S, M, L, XL, XXL, XXXL"
Balmain,drawstring flared trousers,"$2,247",https://www.farfetch.com/in/shopping/men/balmain-drawstring-flared-trousers-item-18674330.aspx?storeid=12263,"XXS, XS"
Officine Creative,Chelsea ankle boots,$788,https://www.farfetch.com/in/shopping/men/officine-creative-chelsea-ankle-boots-item-18717285.aspx?storeid=9474,See all sizes
Stone Island,logo patch corduroy shirt,$457,https://www.farfetch.com/in/shopping/men/stone-island-logo-patch-corduroy-shirt-item-18683741.aspx?storeid=9725,"S, M, L, XL, XXL, XXXL"
1017 ALYX 9SM,Tank buckle-fastening backpack,"$1,108",https://www.farfetch.com/in/shopping/men/1017-alyx-9sm-tank-buckle-fastening-backpack-item-17983749.aspx?storeid=13537,One Size
Mastermind World,logo-print cotton T-shirt,"$1,026",https://www.farfetch.com/in/shopping/men/mastermind-world-logo-print-cotton-t-shirt-item-18694909.aspx?storeid=9446,"S, M"
Dolce & Gabbana,embroidered-logo bucket hat,$495,https://www.farfetch.com/in/shopping/men/dolce-gabbana-embroidered-logo-bucket-hat-item-18665781.aspx?storeid=10012,"M, L, XL"
Mastermind World,logo-print track shorts,"$1,495",https://www.farfetch.com/in/shopping/men/mastermind-world-logo-print-track-shorts-item-18694908.aspx?storeid=9446,S
Jacquemus,contrast stitching slingback sandals,$492,https://www.farfetch.com/in/shopping/men/jacquemus-contrast-stitching-slingback-sandals-item-17662176.aspx?storeid=9359,See all sizes
AMI Paris,Ami de Coeur intarsia knit vest,$384,https://www.farfetch.com/in/shopping/men/ami-paris-ami-de-coeur-intarsia-knit-vest-item-17962016.aspx?storeid=9846,"S, M, L, XL, XXL"
Balenciaga,Car Flap shoulder bag,"$1,490",https://www.farfetch.com/in/shopping/men/balenciaga-car-flap-shoulder-bag-item-17731489.aspx?storeid=13539,One Size
Dsquared2,slip-on cargo-pockets track pants,$630,https://www.farfetch.com/in/shopping/men/dsquared2-slip-on-cargo-pockets-track-pants-item-18724798.aspx?storeid=10799,"XS, S, M, L, XL"
Versace,Sport Tech GMT 45mm,"$2,075",https://www.farfetch.com/in/shopping/men/versace-sport-tech-gmt-45mm-item-17457757.aspx?storeid=13539,One Size
Dolce & Gabbana,embossed-logo cotton sweatshirt,$775,https://www.farfetch.com/in/shopping/men/dolce-gabbana-embossed-logo-cotton-sweatshirt-item-18515508.aspx?storeid=14157,"XXS, XS, S, M, L, XL, XXL, XXXL"
Roberto Cavalli,patchwork-print clutch,$790,https://www.farfetch.com/in/shopping/men/roberto-cavalli-patchwork-print-clutch-item-17847935.aspx?storeid=11222,One Size
Dolce & Gabbana,embossed-logo track shorts,$645,https://www.farfetch.com/in/shopping/men/dolce-gabbana-embossed-logo-track-shorts-item-18517074.aspx?storeid=14157,"XXS, XS, S, M, L, XL, XXL, XXXL"
adidas,"YEEZY Foam Runner ""Stone Sage"" sneakers",$408,https://www.farfetch.com/in/shopping/men/adidas-yeezy-foam-runner-stone-sage-sneakers-item-18132084.aspx?storeid=11218,See all sizes
Dion Lee,ribbed-knit tank top,$456,https://www.farfetch.com/in/shopping/women/dion-lee-ribbed-knit-tank-top-item-18380284.aspx?storeid=9834,See all sizes
Versace,Medusa-buckle leather belt,$739,https://www.farfetch.com/in/shopping/men/versace-medusa-buckle-leather-belt-item-18689536.aspx?storeid=9462,"XS, S, M, L, XL"
YMC,cropped tapered trousers,$283,https://www.farfetch.com/in/shopping/men/ymc-cropped-tapered-trousers-item-18658774.aspx?storeid=11306,"S, M, L, XL"
Marsèll,round toe lace-up derby shoes,"$1,213",https://www.farfetch.com/in/shopping/men/marsell-round-toe-lace-up-derby-shoes-item-18484617.aspx?storeid=9903,See all sizes
Giorgio Armani,striped spread collar shirt,"$1,719",https://www.farfetch.com/in/shopping/men/giorgio-armani-striped-spread-collar-shirt-item-18689691.aspx?storeid=9597,S
Marni,elasticated-waistband bermuda shorts,$709,https://www.farfetch.com/in/shopping/men/marni-elasticated-waistband-bermuda-shorts-item-18459106.aspx?storeid=10646,"XS, S, M, L, XL, XXL, XXXL"
Dr. Martens,x Suicoke Mura open toe sandals,$390,https://www.farfetch.com/in/shopping/men/dr-martens-x-suicoke-mura-open-toe-sandals-item-17649938.aspx?storeid=9359,See all sizes
Nanushka,floral animal-print shirt,$595,https://www.farfetch.com/in/shopping/men/nanushka-floral-animal-print-shirt-item-18033932.aspx?storeid=12341,"XS, S, M, L, XL, XXL"
Maison Kitsuné,Fox Stamp tote bag,$363,https://www.farfetch.com/in/shopping/women/maison-kitsune-fox-stamp-tote-bag-item-18539757.aspx?storeid=11365,One Size
Dsquared2,logo-print cargo pants,$926,https://www.farfetch.com/in/shopping/men/dsquared2-logo-print-cargo-pants-item-18712371.aspx?storeid=9334,"XXS, XS, S, M, L, XL, XXL, XXXL"
Balenciaga,Cagole studded leather sandals,"$1,180",https://www.farfetch.com/in/shopping/men/balenciaga-cagole-studded-leather-sandals-item-17731530.aspx?storeid=13539,See all sizes
Isabel Marant,logo-print cotton T-shirt ,$202,https://www.farfetch.com/in/shopping/men/isabel-marant-logo-print-cotton-t-shirt-item-18657497.aspx?storeid=9462,"S, M, L, XL"
Palace,x AMG 2.0 mesh trucker,$175,https://www.farfetch.com/in/shopping/men/palace-x-amg-20-mesh-trucker-item-18533839.aspx?storeid=11218,One Size
Studio Nicholson,Kite check-print shorts,$420,https://www.farfetch.com/in/shopping/men/studio-nicholson-kite-check-print-shorts-item-17918358.aspx?storeid=13537,"XS, S, M, L"
Nike,x Union LA Dunk Low sneakers,$605,https://www.farfetch.com/in/shopping/men/nike-x-union-la-dunk-low-sneakers-item-18363727.aspx?storeid=11218,See all sizes
Stone Island Shadow Project,logo-patch cotton shirt jacket,"$1,366",https://www.farfetch.com/in/shopping/men/stone-island-shadow-project-logo-patch-cotton-shirt-jacket-item-18690158.aspx?storeid=10122,"S, M, L, XL"
Balenciaga,BB-monogram shoulder bag,$830,https://www.farfetch.com/in/shopping/women/balenciaga-bb-monogram-shoulder-bag-item-18454540.aspx?storeid=13539,One Size
Rick Owens,raw-cut cotton T-shirt,$392,https://www.farfetch.com/in/shopping/men/rick-owens-raw-cut-cotton-t-shirt-item-18691537.aspx?storeid=9339,XL
Acne Studios,straight-leg cut trousers,$445,https://www.farfetch.com/in/shopping/men/acne-studios-straight-leg-cut-trousers-item-18330518.aspx?storeid=11786,"XS, S, M, L, XL"
ICECREAM,logo-print long-sleeve hoodie ,$190,https://www.farfetch.com/in/shopping/men/icecream-logo-print-long-sleeve-hoodie-item-18687939.aspx?storeid=9446,"S, M, XL"
Balenciaga,logo-print leather shoulder bag,$830,https://www.farfetch.com/in/shopping/men/balenciaga-logo-print-leather-shoulder-bag-item-17730521.aspx?storeid=13539,One Size
Moschino,logo-print short-sleeved T-shirt,$560,https://www.farfetch.com/in/shopping/men/moschino-logo-print-short-sleeved-t-shirt-item-18733061.aspx?storeid=11828,"S, M, L"
A BATHING APE®,Type 1 BAPEX® 40mm,"$1,486",https://www.farfetch.com/in/shopping/men/a-bathing-ape-type-1-bapex-40mm-item-18271188.aspx?storeid=11218,One Size
7 For All Mankind,mid-rise skinny jeans,$369,https://www.farfetch.com/in/shopping/men/7-for-all-mankind-mid-rise-skinny-jeans-item-18726157.aspx?storeid=9628,"S, M, L"
Jordan,"x Union Air Jordan 4 SP ""Guava Ice"" sneakers","$1,448",https://www.farfetch.com/in/shopping/men/jordan-x-union-air-jordan-4-sp-guava-ice-sneakers-item-15804368.aspx?storeid=11218,See all sizes
Stone Island,logo patch crew neck sweatshirt,$361,https://www.farfetch.com/in/shopping/men/stone-island-logo-patch-crew-neck-sweatshirt-item-18651205.aspx?storeid=9904,"S, M, L, XL, XXL, XXXL"
Maison Kitsuné,logo-patch clutch bag,$534,https://www.farfetch.com/in/shopping/women/maison-kitsune-logo-patch-clutch-bag-item-18538764.aspx?storeid=11365,One Size
Anti Social Social Club,Mind Melt short-sleeve T-shirt ,$164,https://www.farfetch.com/in/shopping/men/anti-social-social-club-mind-melt-short-sleeve-t-shirt-item-18533955.aspx?storeid=11218,"S, M, L, XL, XXL"
Isabel Marant,embroidered-logo cap,$206,https://www.farfetch.com/in/shopping/men/isabel-marant-embroidered-logo-cap-item-18661317.aspx?storeid=9600,One Size
Ksubi,distressed denim shorts,$317,https://www.farfetch.com/in/shopping/men/ksubi-distressed-denim-shorts-item-18612745.aspx?storeid=9058,"XS, S, M, L, XL, XXL, XXXL"
Nike,x AMBUSH Dunk High SP sneakers,$562,https://www.farfetch.com/in/shopping/men/nike-x-ambush-dunk-high-sp-sneakers-item-16887238.aspx?storeid=11218,See all sizes
Palm Angels,logo-print cotton T-shirt,$318,https://www.farfetch.com/in/shopping/men/palm-angels-logo-print-cotton-t-shirt-item-18570678.aspx?storeid=12592,"XXS, XS, S, M, L, XL, XXL"
Maison Margiela,logo-patch grained shoulder bag,"$2,220",https://www.farfetch.com/in/shopping/men/maison-margiela-logo-patch-grained-shoulder-bag-item-18683087.aspx?storeid=9306,One Size
Balmain,low-rise slim-cut jeans,"$1,431",https://www.farfetch.com/in/shopping/men/balmain-low-rise-slim-cut-jeans-item-18220996.aspx?storeid=14221,"S, M, L"
Balenciaga,Defender mesh low-top sneakers,"$1,015",https://www.farfetch.com/in/shopping/men/balenciaga-defender-mesh-low-top-sneakers-item-18509011.aspx?storeid=13539,"S, M, L, XL, XXL"
Valentino,reversible bomber-jacket,"$2,123",https://www.farfetch.com/in/shopping/men/valentino-reversible-bomber-jacket-item-18712124.aspx?storeid=9564,"XS, M, L, XL"
VETEMENTS,slogan-print T-shirt,$612,https://www.farfetch.com/in/shopping/women/vetements-slogan-print-t-shirt-item-18672204.aspx?storeid=10012,"XS, S"
Versace,Medusa plaque bracelet,$658,https://www.farfetch.com/in/shopping/men/versace-medusa-plaque-bracelet-item-18705056.aspx?storeid=9446,One Size
AMIRI,distressed skinny jeans,"$1,447",https://www.farfetch.com/in/shopping/men/amiri-distressed-skinny-jeans-item-18702761.aspx?storeid=9446,"S, M, L, XL, XXL"
Balenciaga,graphic logo-print T-shirt,$830,https://www.farfetch.com/in/shopping/women/balenciaga-graphic-logo-print-t-shirt-item-18593061.aspx?storeid=13539,"XXS, XS, S, M, L"
Dsquared2,logo-print multi-pocket Bermuda shorts,$872,https://www.farfetch.com/in/shopping/men/dsquared2-logo-print-multi-pocket-bermuda-shorts-item-18725599.aspx?storeid=9462,"XS, S, M, L, XL, XXL"
Lanvin,logo-print bucket hat,$735,https://www.farfetch.com/in/shopping/men/lanvin-logo-print-bucket-hat-item-18687966.aspx?storeid=9446,L
Versace,logo-embroidered drawstring hoodie,"$1,177",https://www.farfetch.com/in/shopping/men/versace-logo-embroidered-drawstring-hoodie-item-18710829.aspx?storeid=9597,"XS, S, M, L, XL, XXL, XXXL"
Dolce & Gabbana,logo-plaque slip-on loafers,"$1,075",https://www.farfetch.com/in/shopping/men/dolce-gabbana-logo-plaque-slip-on-loafers-item-18676598.aspx?storeid=9462,See all sizes
Balenciaga Eyewear,oval-frame tinted sunglasses,"$1,030",https://www.farfetch.com/in/shopping/men/balenciaga-eyewear-oval-frame-tinted-sunglasses-item-18640860.aspx?storeid=13539,One Size
Balenciaga,oversize distressed T-shirt,$950,https://www.farfetch.com/in/shopping/men/balenciaga-oversize-distressed-t-shirt-item-18482580.aspx?storeid=13539,"S, M, L, XL"
yume yume,Finn leather slides,$333,https://www.farfetch.com/in/shopping/men/yume-yume-finn-leather-slides-item-18694986.aspx?storeid=9446,See all sizes
Stone Island,logo-patch wool sweatshirt,$631,https://www.farfetch.com/in/shopping/men/stone-island-logo-patch-wool-sweatshirt-item-18681047.aspx?storeid=13043,"S, M, L, XL"
TOM FORD Eyewear,Troy pilot-frame sunglasses,$608,https://www.farfetch.com/in/shopping/men/tom-ford-eyewear-troy-pilot-frame-sunglasses-item-18448521.aspx?storeid=13537,One Size
GALLERY DEPT.,clear travel belt bag,"$1,710",https://www.farfetch.com/in/shopping/men/gallery-dept-clear-travel-belt-bag-item-18691616.aspx?storeid=11004,One Size
Jil Sander,slim-cut elasticated-waistband trousers,$926,https://www.farfetch.com/in/shopping/men/jil-sander-slim-cut-elasticated-waistband-trousers-item-18709470.aspx?storeid=9728,"XS, S, M, L, XL"
Nike,Air Zoom Pegasus 38 sneakers,$219,https://www.farfetch.com/in/shopping/men/nike-air-zoom-pegasus-38-sneakers-item-18682075.aspx?storeid=11218,See all sizes
Dolce & Gabbana,DG embroidered-logo cotton sweatshirt,$775,https://www.farfetch.com/in/shopping/men/dolce-gabbana-dg-embroidered-logo-cotton-sweatshirt-item-18515513.aspx?storeid=13098,"XXS, XS, S, M, L, XL, XXL, XXXL"
